Entry	Entry Name	Gene Names	Length	Gene Ontology (cellular component)
P38290	UBS1_YEAST	UBS1 YBR165W YBR1217	277	nucleus [GO:0005634]
P38292	PEX32_YEAST	PEX32 YBR168W YBR1220	413	peroxisomal membrane [GO:0005778]
P38306	YB47_YEAST	YBR197C YBR1409	217	cytoplasm [GO:0005737]; nucleus [GO:0005634]
P38308	CS111_YEAST	COS111 YBR203W YBR1443	924	mitochondrion [GO:0005739]
P38318	YB70_YEAST	YBR220C YBR1510	560	membrane [GO:0016020]
P38320	YB74_YEAST	YBR224W YBR1521	171	membrane [GO:0016020]
P38321	YB75_YEAST	YBR225W YBR1522	900	
P38346	BIT2_YEAST	BIT2 YBR270C YBR1738	545	TORC2 complex [GO:0031932]
P38354	YB8A_YEAST	YBR285W YBR2023	144	autophagosome [GO:0005776]
P38355	YB8B_YEAST	YBR287W YBR2034	427	endoplasmic reticulum [GO:0005783]; membrane [GO:0016020]
P38430	YM8C_YEAST	YMR262W YM8156.04	313	
P38690	YHJ3_YEAST	YHR033W	423	cytoplasm [GO:0005737]; cytosol [GO:0005829]
P38709	UGPA2_YEAST	YHL012W	493	cytoplasm [GO:0005737]
P38716	YHR2_YEAST	YHR112C	378	cytoplasm [GO:0005737]; nucleus [GO:0005634]
P38721	YHF0_YEAST	YHL050C	697	cytoplasm [GO:0005737]; membrane [GO:0016020]
P38723	COS8_YEAST	COS8 YHL048W	381	fungal-type vacuole [GO:0000324]; membrane [GO:0016020]; nuclear envelope [GO:0005635]
P38725	PAU13_YEAST	PAU13 YHL046C	120	fungal-type cell wall [GO:0009277]
P38726	YHE5_YEAST	YHL045W	115	membrane [GO:0016020]; peroxisome [GO:0005777]
P38728	ECM34_YEAST	ECM34 YHL043W	170	cytosol [GO:0005829]; membrane [GO:0016020]
P38740	YHC6_YEAST	YHL026C	315	cell periphery [GO:0071944]; membrane [GO:0016020]
P38747	OTU2_YEAST	OTU2 YHL013C	307	cytoplasm [GO:0005737]
P38763	YHI2_YEAST	YHR022C	256	endomembrane system [GO:0012505]
P38775	YHK5_YEAST	YHR045W	560	endoplasmic reticulum [GO:0005783]; membrane [GO:0016020]
P38832	ANS1_YEAST	ANS1 YHR126C	159	fungal-type vacuole [GO:0000324]; plasma membrane [GO:0005886]; side of membrane [GO:0098552]
P38833	YHS7_YEAST	YHR127W	243	nucleus [GO:0005634]
P38835	YHT1_YEAST	YHR131C	850	cytoplasm [GO:0005737]; cytosol [GO:0005829]
P38841	YHT8_YEAST	YHR138C	114	
P38867	YHX7_YEAST	YHR177W	453	nucleus [GO:0005634]
P38868	YHY0_YEAST	YHR180W	163	membrane [GO:0016020]
P38893	YH10_YEAST	YHR210C	341	
P39529	YJU6_YEAST	YJL206C J0316	758	nucleus [GO:0005634]
P39542	YJT3_YEAST	YJL193W J0349	402	endoplasmic reticulum [GO:0005783]; Golgi apparatus [GO:0005794]; membrane [GO:0016020]
P39549	YAJ9_YEAST	DFP2 YAR029W FUN57	74	cytoplasm [GO:0005737]; membrane [GO:0016020]
P39557	YAL7_YEAST	YAR047C	106	membrane [GO:0016020]
P39721	AIM2_YEAST	AIM2 YAL049C	246	cytoplasm [GO:0005737]
P39931	SS120_YEAST	SSP120 YLR250W L9672.4	234	cytoplasm [GO:0005737]; endoplasmic reticulum-Golgi intermediate compartment [GO:0005793]; fungal-type vacuole [GO:0000324]
P39945	AST2_YEAST	AST2 YER101C	430	cytoplasm [GO:0005737]
P39975	RMD6_YEAST	RMD6 YEL072W	231	peroxisome [GO:0005777]
P39991	YEC5_YEAST	YEL025C	1188	cytoplasm [GO:0005737]; membrane [GO:0016020]; nucleus [GO:0005634]
P40008	FMP52_YEAST	FMP52 YER004W	231	cytoplasm [GO:0005737]; endoplasmic reticulum [GO:0005783]; mitochondrial outer membrane [GO:0005741]; mitochondrion [GO:0005739]
P40022	YEM4_YEAST	YER034W	185	cytoplasm [GO:0005737]; nucleus [GO:0005634]
P40042	RRT13_YEAST	RRT13 YER066W	185	
P40049	YEQ6_YEAST	YER076C	302	endoplasmic reticulum [GO:0005783]; mitochondrion [GO:0005739]
P40052	YEQ9_YEAST	YER079W	210	cytoplasm [GO:0005737]; nucleus [GO:0005634]
P40053	AIM9_YEAST	AIM9 FMP29 YER080W	627	mitochondrion [GO:0005739]
P40057	YER4_YEAST	YER084W	128	cytoplasm [GO:0005737]; nucleus [GO:0005634]
P40076	YEV1_YEAST	YER121W	114	
P40093	YEY6_YEAST	YER156C	338	chromatin [GO:0000785]; cytoplasm [GO:0005737]; nucleus [GO:0005634]
P40097	YE11_YEAST	YER181C	107	mitochondrial membrane [GO:0031966]; mitochondrion [GO:0005739]
P40098	FMP10_YEAST	FMP10 YER182W	244	mitochondrial membrane [GO:0031966]; mitochondrion [GO:0005739]
P40157	VID27_YEAST	VID27 YNL212W N1327	782	cytoplasm [GO:0005737]; nucleus [GO:0005634]
P40159	YNU8_YEAST	YNL208W N1338	199	mitochondrion [GO:0005739]; outer membrane [GO:0019867]
P40168	YNT5_YEAST	YNL195C N1390	261	mitochondrion [GO:0005739]
P40206	JLP2_YEAST	JLP2 YMR132C YM9375.01C	208	cytoplasm [GO:0005737]
P40209	GAT2_YEAST	GAT2 YMR136W YM9375.05	560	nucleus [GO:0005634]
P40326	YG5N_YEAST	YGR269W	108	cytoplasm [GO:0005737]; nucleus [GO:0005634]
P40364	MPM1_YEAST	MPM1 YJL066C HRE252 J1111	252	mitochondrial intermembrane space [GO:0005758]; mitochondrial membrane [GO:0031966]; mitochondrion [GO:0005739]
P40441	HXT12_YEAST	HXT12 YIL170W YI9402.06B	457	membrane [GO:0016020]
P40446	YIQ5_YEAST	YIL165C YI9402.10AC	119	
P40447	NIT1_YEAST	NIT1 YIL164C YI9402.10BC	199	
P40449	YIQ1_YEAST	YIL161W	235	cytoplasm [GO:0005737]
P40455	YIP2_YEAST	YIL152W	235	
P40456	ESL1_YEAST	ESL1 YIL151C	1118	telomerase holoenzyme complex [GO:0005697]
P40470	RRT14_YEAST	RRT14 YIL127C	206	nucleolus [GO:0005730]
P40476	PRM5_YEAST	PRM5 YIL117C	318	cellular bud neck [GO:0005935]; fungal-type vacuole [GO:0000324]; membrane [GO:0016020]
P40497	YIJ2_YEAST	YIL092W	633	cytoplasm [GO:0005737]; membrane [GO:0016020]; nucleus [GO:0005634]
P40500	YII9_YEAST	YIL089W	205	endoplasmic reticulum [GO:0005783]; fungal-type vacuole [GO:0000324]; fungal-type vacuole lumen [GO:0000328]; membrane [GO:0016020]; peroxisome [GO:0005777]
P40502	AIM19_YEAST	AIM19 YIL087C	157	mitochondrial membrane [GO:0031966]; mitochondrion [GO:0005739]
P40508	PUP1_YEAST	YIL077C	320	mitochondrial membrane [GO:0031966]; mitochondrion [GO:0005739]
P40514	YIG7_YEAST	YIL067C	678	fungal-type vacuole [GO:0000324]; vacuolar membrane [GO:0005774]
P40520	YIF9_YEAST	YIL059C	121	
P40521	YIF8_YEAST	YIL058W	94	
P40524	YIF4_YEAST	YIL054W	105	membrane [GO:0016020]
P40534	PRM2_YEAST	PRM2 YIL037C	656	membrane [GO:0016020]
P40560	YIA1_YEAST	YIL001W YIA1W	513	cytoplasm [GO:0005737]; ubiquitin ligase complex [GO:0000151]
P40569	GAT4_YEAST	GAT4 YIR013C	121	nucleus [GO:0005634]
P40585	PAU15_YEAST	PAU15 YIR041W	124	fungal-type cell wall [GO:0009277]; fungal-type vacuole [GO:0000324]
P40892	YJV8_YEAST	YJL218W HRA196 J0224	196	mitochondrion [GO:0005739]
P40893	REE1_YEAST	REE1 YJL217W HRC198 J0226	198	cytoplasm [GO:0005737]
P40962	RTS2_YEAST	RTS2 YOR077W YOR29-28	232	cytoplasm [GO:0005737]; nucleus [GO:0005634]
P41902	CRS5_YEAST	CRS5 YOR031W O2675	69	
P42840	YN60_YEAST	YNL320W N0342	284	fungal-type vacuole [GO:0000324]; membrane [GO:0016020]; mitochondrial membrane [GO:0031966]; mitochondrion [GO:0005739]
P42884	AAD14_YEAST	AAD14 YNL331C N0300	376	
P42936	YG4D_YEAST	YGR201C G7727	225	cytoplasm [GO:0005737]; nucleus [GO:0005634]
P42942	YG4I_YEAST	YGR210C G7748	411	cytoplasm [GO:0005737]
P42946	PRM10_YEAST	PRM10 YJL108C J0811	383	endoplasmic reticulum [GO:0005783]; membrane [GO:0016020]
P42947	YJK7_YEAST	YJL107C J0813	387	
P43537	YFG7_YEAST	YFL067W	175	membrane [GO:0016020]
P43538	YFG6_YEAST	YFL066C	392	nucleus [GO:0005634]
P43542	COS4_YEAST	COS4 YFL062W	379	cytoplasm [GO:0005737]; endosome [GO:0005768]; fungal-type vacuole [GO:0000324]; fungal-type vacuole membrane [GO:0000329]; nucleus [GO:0005634]
P43546	YFL57_YEAST	YFL057C	152	
P43547	AAD6_YEAST	AAD6 YFL056C	212	
P43552	YFF1_YEAST	YFL051C	160	cell periphery [GO:0071944]; plasma membrane [GO:0005886]
P43575	PAU5_YEAST	PAU5 YFL020C	122	cytoplasm [GO:0005737]; fungal-type cell wall [GO:0009277]; fungal-type vacuole [GO:0000324]; membrane [GO:0016020]
P43590	YFH6_YEAST	YFR006W	535	cytoplasm [GO:0005737]; membrane [GO:0016020]
P43595	DCV1_YEAST	DCV1 YFR012W	202	cell division site [GO:0032153]; growing cell tip [GO:0035838]; nuclear envelope [GO:0005635]; plasma membrane [GO:0005886]
P43600	CSS2_YEAST	CSS2 YFR020W	232	endoplasmic reticulum [GO:0005783]; extracellular region [GO:0005576]
P43604	ULI1_YEAST	ULI1 YFR026C	169	endoplasmic reticulum [GO:0005783]
P43617	YFL5_YEAST	YFR045W	309	mitochondrial inner membrane [GO:0005743]; mitochondrion [GO:0005739]
P43624	YFM6_YEAST	YFR056C	122	membrane [GO:0016020]
P46679	STB2_YEAST	STB2 YMR053C YM9796.06C	850	Sin3-type complex [GO:0070822]
P46949	FYV8_YEAST	FYV8 YGR196C G7589	817	cytoplasm [GO:0005737]; nucleus [GO:0005634]
P46991	YJR5_YEAST	YJL175W J0502	170	membrane [GO:0016020]
P46996	YJQ3_YEAST	YJL163C J0544	555	fungal-type vacuole membrane [GO:0000329]; membrane [GO:0016020]
P46998	FMP33_YEAST	FMP33 YJL161W J0552	180	mitochondrial membrane [GO:0031966]; mitochondrion [GO:0005739]
P47010	IRC9_YEAST	IRC9 YJL142C J0650	130	membrane [GO:0016020]
P47014	YJN2_YEAST	YJL132W J0678	750	extracellular matrix [GO:0031012]; extracellular space [GO:0005615]; fungal-type vacuole [GO:0000324]; membrane [GO:0016020]
P47020	YJM0_YEAST	YJL120W J0734	107	membrane [GO:0016020]
P47023	YJ41A_YEAST	TY4A-J YJLWTy4-1 GAG YJL114W J0775	414	
P47034	ICS3_YEAST	ICS3 YJL077C J1033	131	membrane [GO:0016020]
P47036	APQ13_YEAST	APQ13 YJL075C J1044	138	
P47044	YJF5_YEAST	YJL055W J1148	245	cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleus [GO:0005634]
P47072	YJB6_YEAST	YJL016W J1320 J1326 YJL017W	561	cytoplasm [GO:0005737]
P47090	YJY5_YEAST	YJR015W J1448	510	cytoplasm [GO:0005737]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; membrane [GO:0016020]
P47094	YJZ3_YEAST	YJR023C J1470 YJR83.19	133	membrane [GO:0016020]
P47101	YJ00_YEAST	YJR030C J1575L	745	
P47115	YJ26_YEAST	YJR056C J1710	236	cytoplasm [GO:0005737]; nucleus [GO:0005634]
P47121	YJ41_YEAST	YJR071W J1818	122	
P47129	ACF4_YEAST	ACF4 YJR083C J1857	309	
P47131	YJ55_YEAST	YJR085C J1863	105	membrane [GO:0016020]; mitochondrion [GO:0005739]
P47139	YJ68_YEAST	YJR098C J1936	656	cytoplasm [GO:0005737]; mitochondrion [GO:0005739]
P47144	ECM27_YEAST	ECM27 YJR106W J1978	725	endoplasmic reticulum [GO:0005783]; membrane [GO:0016020]
P47145	LIH1_YEAST	LIH1 YJR107W J1983	328	
P47146	ABM1_YEAST	ABM1 YJR108W J1988	123	
P47157	YJ90_YEAST	YJR120W J2039	116	
P47159	YJ94_YEAST	YJR124C J2046	448	fungal-type vacuole membrane [GO:0000329]
P47173	YJ9J_YEAST	YJR142W J2171	342	
P47174	YJ9K_YEAST	YJR146W J2200	117	cytoplasm [GO:0005737]; nucleus [GO:0005634]
P47181	YJ9S_YEAST	YJR154W J2240	346	cytoplasm [GO:0005737]
P47182	AAD10_YEAST	AAD10 YJR155W J2245	288	
P48235	ECL1_YEAST	ECL1 YGR146C G6626	211	
P48569	YD183_YEAST	YDL183C D1293	320	mitochondrial inner membrane [GO:0005743]
P50084	BNS1_YEAST	BNS1 YGR230W G8558	137	
P50088	SPG1_YEAST	SPG1 YGR236C G8578	95	endoplasmic reticulum [GO:0005783]; mitochondrial membrane [GO:0031966]; mitochondrion [GO:0005739]
P50089	YG51_YEAST	YGR237C G8581	785	cytoplasm [GO:0005737]; eisosome [GO:0032126]
P50263	SIP18_YEAST	SIP18 YMR175W YM8010.05	79	cytoplasm [GO:0005737]
P50943	RRT16_YEAST	RRT16 YNL105W N2169	142	membrane [GO:0016020]
P53009	SCY1_YEAST	SCY1 YGL083W	804	cytosol [GO:0005829]; mitochondrial matrix [GO:0005759]
P53050	MGA1_YEAST	MGA1 YGR249W	456	chromatin [GO:0000785]; nucleus [GO:0005634]
P53053	COS12_YEAST	COS12 YGL263W NRC380	380	endosome [GO:0005768]; fungal-type vacuole [GO:0000324]; membrane [GO:0016020]
P53057	YPS5_YEAST	YPS5 YGL259W NRA165	165	
P53066	YGZ2_YEAST	YGL242C HRE181	181	cytoplasm [GO:0005737]
P53074	YGY0_YEAST	YGL230C	147	endoplasmic reticulum [GO:0005783]; membrane [GO:0016020]; mitochondrion [GO:0005739]
P53077	MTC3_YEAST	MTC3 YGL226W	123	mitochondrion [GO:0005739]; respiratory chain complex IV [GO:0045277]
P53078	SDT1_YEAST	SDT1 SSM1 YGL224C	280	
P53081	NIF3_YEAST	NIF3 YGL221C	288	cytoplasm [GO:0005737]; mitochondrion [GO:0005739]
P53087	YGW4_YEAST	YGL214W	161	membrane [GO:0016020]
P53089	YGV4_YEAST	YGL204C	101	endoplasmic reticulum [GO:0005783]; membrane [GO:0016020]
P53117	RRT6_YEAST	RRT6 YGL146C	311	cytosol [GO:0005829]; membrane [GO:0016020]
P53120	YGO0_YEAST	YGL140C	1219	endoplasmic reticulum [GO:0005783]; membrane [GO:0016020]
P53134	YGL4_YEAST	YGL114W	725	fungal-type vacuole membrane [GO:0000329]; membrane [GO:0016020]; plasma membrane [GO:0005886]
P53156	YGI1_YEAST	YGL081W	320	
P53171	GEP7_YEAST	GEP7 YGL057C	287	mitochondrial membrane [GO:0031966]; mitochondrion [GO:0005739]
P53194	BRP1_YEAST	BRP1 YGL007W	125	
P53209	YG1A_YEAST	YGR016W	190	endoplasmic reticulum [GO:0005783]; membrane [GO:0016020]
P53210	YG1B_YEAST	YGR017W	297	cytoplasm [GO:0005737]; nucleus [GO:0005634]
P53212	YG1D_YEAST	YGR021W	290	matrix side of mitochondrial inner membrane [GO:0099617]; mitochondrion [GO:0005739]
P53217	YG1I_YEAST	YGR026W	278	cell periphery [GO:0071944]; endoplasmic reticulum [GO:0005783]; plasma membrane [GO:0005886]
P53227	YG1T_YEAST	YGR042W	271	chromosome, telomeric region [GO:0000781]; cytoplasm [GO:0005737]; nucleus [GO:0005634]; site of double-strand break [GO:0035861]
P53249	YG2G_YEAST	YGR079W	370	
P53265	YG2W_YEAST	YGR111W G6145	400	cytoplasm [GO:0005737]; nucleus [GO:0005634]
P53272	YG34_YEAST	YGR122W G6335	402	cytoplasm [GO:0005737]; nucleus [GO:0005634]; plasma membrane [GO:0005886]
P53274	YG36_YEAST	YGR126W G6365	230	cytoplasm [GO:0005737]; nucleus [GO:0005634]
P53275	YG37_YEAST	YGR127W	312	Golgi apparatus [GO:0005794]; peroxisome [GO:0005777]
P53287	YG3N_YEAST	YGR151C	111	cytoplasm [GO:0005737]; nucleus [GO:0005634]
P53288	YG3R_YEAST	YGR160W G7004	203	membrane [GO:0016020]
P53293	YG3W_YEAST	YGR168C	376	peroxisomal membrane [GO:0005778]; peroxisome [GO:0005777]
P53326	YG5L_YEAST	YGR266W	701	membrane [GO:0016020]; mitochondrial outer membrane [GO:0005741]; mitochondrion [GO:0005739]; plasma membrane [GO:0005886]; prospore membrane [GO:0005628]
P53339	YG61_YEAST	YGR290W	147	membrane [GO:0016020]
P53343	PAU12_YEAST	PAU12 YGR294W	120	fungal-type cell wall [GO:0009277]; membrane [GO:0016020]
P53344	COS6_YEAST	COS6 YGR295C	381	endosome [GO:0005768]; fungal-type vacuole [GO:0000324]; membrane [GO:0016020]
P53427	PAU4_YEAST	PAU4 YLR461W L9122.1	120	fungal-type cell wall [GO:0009277]; fungal-type vacuole [GO:0000324]; membrane [GO:0016020]
P53583	MPA43_YEAST	MPA43 YNL249C N0875	542	cytoplasm [GO:0005737]; mitochondrion [GO:0005739]
P53584	YTP1_YEAST	YTP1 YNL237W N1129	459	membrane [GO:0016020]
P53719	YN87_YEAST	YNR014W N2060	212	cytoplasm [GO:0005737]
P53728	CYP8_YEAST	CPR8 YNR028W N3255	308	cytoplasm [GO:0005737]; endoplasmic reticulum [GO:0005783]; fungal-type vacuole [GO:0000324]
P53736	YN8O_YEAST	YNR040W N3407	256	mitochondrial inner membrane [GO:0005743]; mitochondrion [GO:0005739]
P53745	MNT4_YEAST	MNT4 YNR059W N3514	580	Golgi apparatus [GO:0005794]; membrane [GO:0016020]
P53747	YN8Z_YEAST	YNR061C N3523	219	cytoplasm [GO:0005737]; fungal-type vacuole [GO:0000324]; fungal-type vacuole membrane [GO:0000329]
P53748	YN91_YEAST	YNR062C N3527	327	endoplasmic reticulum [GO:0005783]; membrane [GO:0016020]
P53749	YN92_YEAST	YNR063W N3531	607	nucleus [GO:0005634]
P53750	YN93_YEAST	YNR064C N3535	290	
P53757	YN9A_YEAST	YNR071C N3605	342	
P53822	COS1_YEAST	COS1 YNL336W N0275	381	endosome [GO:0005768]; fungal-type vacuole [GO:0000324]; fungal-type vacuole membrane [GO:0000329]
P53841	BSC4_YEAST	BSC4 YNL269W N0670	131	
P53862	YNW8_YEAST	YNL228W N1249	258	membrane [GO:0016020]
P53869	MRX7_YEAST	MRX7 YNL211C N1328	86	mitochondrion [GO:0005739]
P53906	YNO6_YEAST	YNL146W N1203 N1785	100	endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]
P53907	YNO4_YEAST	YNL144C N1205 N1790	740	cytoplasmic side of mitochondrial outer membrane [GO:0032473]; mitochondrion [GO:0005739]
P53908	YNO3_YEAST	YNL143C N1206 N1795	130	membrane [GO:0016020]
P53912	YNN4_YEAST	YNL134C N1214 N1847	376	cytoplasm [GO:0005737]; nucleus [GO:0005634]
P53925	YNL5_YEAST	YNL115C N1929	644	fungal-type vacuole [GO:0000324]; fungal-type vacuole membrane [GO:0000329]
P53928	YNK9_YEAST	YNL109W N1958	181	membrane [GO:0016020]
P53929	YNK8_YEAST	YNL108C N1962	270	cytoplasm [GO:0005737]; nucleus [GO:0005634]
P53932	YNJ5_YEAST	YNL095C N2215	642	endoplasmic reticulum [GO:0005783]; membrane [GO:0016020]
P53947	YNF8_YEAST	YNL058C N2433 YNL2433C	316	cellular bud neck [GO:0005935]; endoplasmic reticulum [GO:0005783]; fungal-type vacuole [GO:0000324]; vacuolar membrane [GO:0005774]
P53956	YNE6_YEAST	YNL046W N2530	172	endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; nucleus [GO:0005634]
P53962	YND5_YEAST	YNL035C N2730	389	cytosol [GO:0005829]; nucleus [GO:0005634]
P53964	YND3_YEAST	YNL033W N2743	284	plasma membrane [GO:0005886]
P53975	YNB9_YEAST	YNL019C N2827	284	fungal-type vacuole [GO:0000324]; plasma membrane [GO:0005886]; prospore membrane [GO:0005628]
P53976	YNB8_YEAST	YNL018C N2831	612	prospore membrane [GO:0005628]
P54072	YL152_YEAST	YLR152C L9634.9	576	membrane [GO:0016020]
P54858	DOS2_YEAST	DOS2 YDR068W D4267 YD8554.01 YD9609.22	310	cytoplasm [GO:0005737]
P85052	BUD25_YEAST	BUD25 YER014C-A	153	
P87267	YD417_YEAST	YDR417C	123	membrane [GO:0016020]
P87286	OPI7_YEAST	OPI7 YDR360W	144	
P9WEJ1	YN040_YEAST	YNL040C-A	26	
P9WEJ6	YG106_YEAST	YGR016C-A	35	endoplasmic reticulum membrane [GO:0005789]
Q01684	SPR6_YEAST	SPR6 YER115C	191	mitochondrion [GO:0005739]
Q02203	YKY5_YEAST	YKR005C YK104	525	membrane [GO:0016020]; mitochondrion [GO:0005739]
Q02209	YKZ1_YEAST	YKR011C YK110	353	nucleus [GO:0005634]
Q02651	SMA1_YEAST	SMA1 YPL027W	245	prospore membrane [GO:0005628]
Q02754	YP067_YEAST	YPL067C	198	cytoplasm [GO:0005737]
Q02781	YP062_YEAST	YPL062W LPE8	134	
Q02786	LCL1_YEAST	LCL1 YPL056C	101	plasma membrane [GO:0005886]; side of membrane [GO:0098552]
Q02799	LEE1_YEAST	LEE1 YPL054W	301	
Q02820	NCE1_YEAST	NCE101 NCE1 YJL205C YJL205BC YJL205C-A	53	cytosol [GO:0005829]; membrane [GO:0016020]
Q02864	YP071_YEAST	YPL071C	156	cytoplasm [GO:0005737]; nucleus [GO:0005634]
Q02872	YP108_YEAST	YPL108W	168	cytoplasm [GO:0005737]
Q02873	YP107_YEAST	YPL107W	248	mitochondrion [GO:0005739]
Q02895	AAD16_YEAST	AAD16 YPL088W	342	cytosol [GO:0005829]
Q03036	IRC4_YEAST	IRC4 YDR540C	179	cytoplasm [GO:0005737]; nucleus [GO:0005634]
Q03049	YD541_YEAST	YDR541C	344	
Q03050	PAU10_YEAST	PAU10 YDR542W	120	fungal-type cell wall [GO:0009277]; fungal-type vacuole [GO:0000324]
Q03102	YMN1_YEAST	YML131W YM4987.04	365	cytoplasm [GO:0005737]; cytosol [GO:0005829]; membrane [GO:0016020]
Q03177	YMZ2_YEAST	YMR102C YM6228.01C YM6543.09C YM9718.01C	834	
Q03187	YF013_YEAST	YFL013W-A	267	membrane [GO:0016020]
Q03193	YD090_YEAST	YDR090C	310	membrane [GO:0016020]; plasma membrane [GO:0005886]
Q03210	NGL3_YEAST	NGL3 YML118W YM7056.08 YM8339.01	505	
Q03233	ADD37_YEAST	ADD37 YMR184W YM8010.14	198	cytoplasm [GO:0005737]
Q03263	YM8M_YEAST	YMR279C YM8021.05C	540	cell periphery [GO:0071944]; membrane [GO:0016020]
Q03361	JIP4_YEAST	JIP4 YDR475C YDR474C	876	spliceosomal complex [GO:0005681]
Q03362	YD476_YEAST	YDR476C	224	endoplasmic reticulum [GO:0005783]
Q03508	YM8F_YEAST	YMR265C YM8156.07C	461	box C/D methylation guide snoRNP complex [GO:0031428]; nucleolus [GO:0005730]; small-subunit processome [GO:0032040]
Q03559	YM8V_YEAST	YMR295C	197	cell periphery [GO:0071944]; cellular bud [GO:0005933]; cellular bud neck [GO:0005935]; cellular bud tip [GO:0005934]; mating projection tip [GO:0043332]
Q03629	YMH9_YEAST	YML079W	201	cytoplasm [GO:0005737]; nucleus [GO:0005634]
Q03648	YM59_YEAST	YMR209C YM8261.03C	457	membrane [GO:0016020]
Q03653	EFR3_YEAST	EFR3 YMR212C YM8261.06C	782	cell periphery [GO:0071944]; mitochondrion [GO:0005739]; plasma membrane [GO:0005886]
Q03722	YMC0_YEAST	YML020W	664	nucleus-vacuole junction [GO:0071561]; vacuolar membrane [GO:0005774]
Q03730	YMB8_YEAST	YML018C	393	fungal-type vacuole membrane [GO:0000329]
Q03759	YMK8_YEAST	YML108W YM8339.11	105	cytoplasm [GO:0005737]; nucleus [GO:0005634]
Q03780	YD239_YEAST	YDR239C	787	cytoplasm [GO:0005737]
Q03783	BUD26_YEAST	BUD26 YDR241W	95	membrane [GO:0016020]
Q03795	YM30_YEAST	YMR155W YM8520.04	547	fungal-type vacuole [GO:0000324]; fungal-type vacuole membrane [GO:0000329]
Q03823	YM35_YEAST	YMR160W YM8520.09	816	fungal-type vacuole membrane [GO:0000329]; nucleus-vacuole junction [GO:0071561]; peroxisomal membrane [GO:0005778]; vacuole-mitochondrion membrane contact site [GO:1990816]
Q03900	YD132_YEAST	YDR132C	495	cytoplasm [GO:0005737]; mitochondrion [GO:0005739]; nucleus [GO:0005634]
Q03913	VPS61_YEAST	VPS61 YDR136C	190	membrane [GO:0016020]
Q03983	YD179_YEAST	YDR179W-A YD9395.13	463	nucleus-vacuole junction [GO:0071561]
Q04018	YM79_YEAST	YMR244W YM9408.06	355	fungal-type vacuole [GO:0000324]; membrane [GO:0016020]
Q04033	YD415_YEAST	YDR415C	374	fungal-type vacuole [GO:0000324]
Q04093	YD444_YEAST	YDR444W	687	cytoplasm [GO:0005737]
Q04100	YD445_YEAST	YDR445C	135	membrane [GO:0016020]
Q04162	YD387_YEAST	YDR387C	555	fungal-type vacuole membrane [GO:0000329]; membrane [GO:0016020]
Q04304	YMY0_YEAST	YMR090W YM9582.15	227	cytoplasm [GO:0005737]
Q04336	YM54_YEAST	YMR196W YM9646.09	1088	cytoplasm [GO:0005737]
Q04398	SPG3_YEAST	SPG3 YDR504C D9719.10	127	endoplasmic reticulum [GO:0005783]; membrane [GO:0016020]
Q04406	EMI1_YEAST	EMI1 YDR512C D9719.18	187	
Q04408	YD514_YEAST	YDR514C	483	mitochondrion [GO:0005739]; nucleus [GO:0005634]
Q04413	API2_YEAST	API2 YDR525W	109	
Q04438	SPG4_YEAST	SPG4 YMR107W YM9718.06	115	
Q04489	ASND1_YEAST	YML096W	525	cytoplasm [GO:0005737]
Q04608	YD124_YEAST	YDR124W	324	mitochondrion [GO:0005739]
Q04748	SOV1_YEAST	SOV1 YMR066W YM9916.05	898	mitochondrion [GO:0005739]
Q04773	YMW4_YEAST	YMR074C YM9916.13C	145	cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleus [GO:0005634]
Q04835	YM87_YEAST	YMR253C YM9920.07C	414	cytoplasm [GO:0005737]; membrane [GO:0016020]
Q04869	YM94_YEAST	YMR315W YM9924.07	349	cytoplasm [GO:0005737]; nucleus [GO:0005634]
Q04925	YDR22_YEAST	YDR222W	415	cytoplasm [GO:0005737]
Q04978	YMF3_YEAST	YML053C YM9958.09C	212	cytoplasm [GO:0005737]; nucleus [GO:0005634]
Q04991	FMP42_YEAST	FMP42 YMR221C YM9959.03C	504	fungal-type vacuole [GO:0000324]; fungal-type vacuole membrane [GO:0000329]; mitochondrion [GO:0005739]
Q05497	YD338_YEAST	YDR338C D9651.8	695	membrane [GO:0016020]
Q05611	BSC2_YEAST	BSC2 YDR275W	235	lipid droplet [GO:0005811]; membrane [GO:0016020]
Q05637	PHM6_YEAST	PHM6 YDR281C D9954.14	104	fungal-type vacuole [GO:0000324]; vacuolar membrane [GO:0005774]
Q05812	MSC3_YEAST	MSC3 YLR219W	728	plasma membrane [GO:0005886]
Q05854	YL278_YEAST	YLR278C L8003.10	1341	nucleus [GO:0005634]
Q05881	YL287_YEAST	YLR287C	355	cytoplasm [GO:0005737]; nucleus [GO:0005634]
Q05937	STP3_YEAST	STP3 YLR375W	343	nucleus [GO:0005634]
Q05948	YL225_YEAST	YLR225C	407	cytoplasm [GO:0005737]
Q06070	YL407_YEAST	YLR407W	228	cell cortex [GO:0005938]
Q06089	YP098_YEAST	YPR098C	161	mitochondrial outer membrane [GO:0005741]; mitochondrion [GO:0005739]
Q06139	CIS1_YEAST	CIS1 YLR346C	101	mitochondrion [GO:0005739]
